iso3,pays_fr,annee,score_bonheur
BTN,Bhoutan,2014,5.253
BTN,Bhoutan,2015,5.196
BTN,Bhoutan,2016,5.011
BTN,Bhoutan,2017,5.082
BTN,Bhoutan,2018,5.082
CHN,Chine,2012,4.978
CHN,Chine,2014,5.14
CHN,Chine,2015,5.245
CHN,Chine,2016,5.273
CHN,Chine,2017,5.246
CHN,Chine,2018,5.191
CHN,Chine,2019,5.1239
CHN,Chine,2020,5.339
CHN,Chine,2021,5.585
CHN,Chine,2022,5.818
CHN,Chine,2023,5.973
CHN,Chine,2024,5.921
DEU,Allemagne,2012,6.672
DEU,Allemagne,2014,6.75
DEU,Allemagne,2015,6.994
DEU,Allemagne,2016,6.951
DEU,Allemagne,2017,6.965
DEU,Allemagne,2018,6.985
DEU,Allemagne,2019,7.0758
DEU,Allemagne,2020,7.155
DEU,Allemagne,2021,7.034
DEU,Allemagne,2022,6.892
DEU,Allemagne,2023,6.719
DEU,Allemagne,2024,6.753
DNK,Danemark,2012,7.693
DNK,Danemark,2014,7.527
DNK,Danemark,2015,7.526
DNK,Danemark,2016,7.522
DNK,Danemark,2017,7.555
DNK,Danemark,2018,7.6
DNK,Danemark,2019,7.6456
DNK,Danemark,2020,7.62
DNK,Danemark,2021,7.636
DNK,Danemark,2022,7.586
DNK,Danemark,2023,7.583
DNK,Danemark,2024,7.521
ESP,Espagne,2012,6.322
ESP,Espagne,2014,6.329
ESP,Espagne,2015,6.361
ESP,Espagne,2016,6.403
ESP,Espagne,2017,6.31
ESP,Espagne,2018,6.354
ESP,Espagne,2019,6.4009
ESP,Espagne,2020,6.491
ESP,Espagne,2021,6.476
ESP,Espagne,2022,6.436
ESP,Espagne,2023,6.421
ESP,Espagne,2024,6.466
FIN,Finlande,2012,7.389
FIN,Finlande,2014,7.406
FIN,Finlande,2015,7.413
FIN,Finlande,2016,7.469
FIN,Finlande,2017,7.632
FIN,Finlande,2018,7.769
FIN,Finlande,2019,7.8087
FIN,Finlande,2020,7.842
FIN,Finlande,2021,7.821
FIN,Finlande,2022,7.804
FIN,Finlande,2023,7.741
FIN,Finlande,2024,7.736
FRA,France,2012,6.764
FRA,France,2014,6.575
FRA,France,2015,6.478
FRA,France,2016,6.442
FRA,France,2017,6.489
FRA,France,2018,6.592
FRA,France,2019,6.6638
FRA,France,2020,6.69
FRA,France,2021,6.687
FRA,France,2022,6.661
FRA,France,2023,6.609
FRA,France,2024,6.593
ISL,Islande,2012,7.355
ISL,Islande,2014,7.561
ISL,Islande,2015,7.501
ISL,Islande,2016,7.504
ISL,Islande,2017,7.495
ISL,Islande,2018,7.494
ISL,Islande,2019,7.5045
ISL,Islande,2020,7.554
ISL,Islande,2021,7.557
ISL,Islande,2022,7.53
ISL,Islande,2023,7.525
ISL,Islande,2024,7.515
ITA,Italie,2012,6.021
ITA,Italie,2014,5.948
ITA,Italie,2015,5.977
ITA,Italie,2016,5.964
ITA,Italie,2017,6.0
ITA,Italie,2018,6.223
ITA,Italie,2019,6.3874
ITA,Italie,2020,6.483
ITA,Italie,2021,6.467
ITA,Italie,2022,6.405
ITA,Italie,2023,6.324
ITA,Italie,2024,6.415
JPN,Japon,2012,6.064
JPN,Japon,2014,5.987
JPN,Japon,2015,5.921
JPN,Japon,2016,5.92
JPN,Japon,2017,5.915
JPN,Japon,2018,5.886
JPN,Japon,2019,5.8708
JPN,Japon,2020,5.94
JPN,Japon,2021,6.039
JPN,Japon,2022,6.129
JPN,Japon,2023,6.06
JPN,Japon,2024,6.147
KOR,Corée du Sud,2012,6.267
KOR,Corée du Sud,2014,5.984
KOR,Corée du Sud,2015,5.835
KOR,Corée du Sud,2016,5.838
KOR,Corée du Sud,2017,5.875
KOR,Corée du Sud,2018,5.895
KOR,Corée du Sud,2019,5.8724
KOR,Corée du Sud,2020,5.845
KOR,Corée du Sud,2021,5.935
KOR,Corée du Sud,2022,5.951
KOR,Corée du Sud,2023,6.058
KOR,Corée du Sud,2024,6.038
NOR,Norvège,2012,7.655
NOR,Norvège,2014,7.522
NOR,Norvège,2015,7.498
NOR,Norvège,2016,7.537
NOR,Norvège,2017,7.594
NOR,Norvège,2018,7.554
NOR,Norvège,2019,7.488
NOR,Norvège,2020,7.392
NOR,Norvège,2021,7.365
NOR,Norvège,2022,7.315
NOR,Norvège,2023,7.302
NOR,Norvège,2024,7.262
SWE,Suède,2012,7.48
SWE,Suède,2014,7.364
SWE,Suède,2015,7.291
SWE,Suède,2016,7.284
SWE,Suède,2017,7.314
SWE,Suède,2018,7.343
SWE,Suède,2019,7.3535
SWE,Suède,2020,7.363
SWE,Suède,2021,7.384
SWE,Suède,2022,7.395
SWE,Suède,2023,7.344
SWE,Suède,2024,7.345
USA,États-Unis,2012,7.082
USA,États-Unis,2014,7.119
USA,États-Unis,2015,7.104
USA,États-Unis,2016,6.993
USA,États-Unis,2017,6.886
USA,États-Unis,2018,6.892
USA,États-Unis,2019,6.9396
USA,États-Unis,2020,6.951
USA,États-Unis,2021,6.977
USA,États-Unis,2022,6.894
USA,États-Unis,2023,6.725
USA,États-Unis,2024,6.724
