annee,pib_reel_hab_usd2015
1970,25108.3873891175
1971,25609.294432327
1972,26668.1690068193
1973,27906.1356426005
1974,27502.8548958664
1975,27177.0167648036
1976,28370.4569990061
1977,29385.3192596356
1978,30684.9987747049
1979,31309.0493216525
1980,30930.4214515341
1981,31405.6062642433
1982,30546.7587475276
1983,31656.1736604625
1984,33654.3079300258
1985,34748.2668742364
1986,35620.759359254
1987,36523.4044857245
1988,37705.0600397471
1989,38722.252151711
1990,39009.3725082423
1991,38449.8815276871
1992,39256.0481325055
1993,39807.8795034206
1994,40907.0184352707
1995,41507.9135604158
1996,42575.6896936773
1997,43936.9050018073
1998,45374.6215189233
1999,47004.469017723
2000,48379.7551705781
2001,48361.0167607073
2002,48729.1586442625
2003,49662.7520549839
2004,51098.5573007417
2005,52393.4513113092
2006,53335.5896950225
2007,53889.3964951775
2008,53442.7136899777
2009,51611.3217087719
2010,52555.7695134023
2011,52956.6630340962
2012,53738.1476714593
2013,54462.6252412407
2014,55394.4510435329
2015,56572.9188996063
2016,57151.4708448372
2017,58151.7021391854
2018,59526.665698712
2019,60750.9898621637
2020,59194.6665172031
2021,62680.2503585805
2022,63886.1317069841
2023,65186.5977244157
2024,66356.1706750101
