year,pct_very_happy,pct_pretty_happy,pct_not_too_happy,n_repondants
1972,30.26,53.24,16.5,1606.0
1973,36.06,51.61,12.33,1500.0
1974,36.43,50.39,13.18,1480.0
1975,32.52,54.12,13.36,1485.0
1976,34.37,53.24,12.39,1499.0
1977,35.55,53.7,10.75,1527.0
1978,33.64,57.99,8.37,1517.0
1980,34.11,53.08,12.81,1462.0
1982,33.88,54.36,11.75,1855.0
1983,31.4,55.65,12.95,1573.0
1984,35.24,52.59,12.17,1445.0
1985,29.07,60.0,10.93,1530.0
1986,32.81,56.58,10.61,1449.0
1987,33.56,55.12,11.31,1780.0
1988,36.06,55.67,8.27,1466.0
1989,34.22,56.09,9.69,1526.0
1990,35.05,56.51,8.43,1361.0
1991,31.73,58.78,9.49,1504.0
1993,31.36,58.62,10.02,1601.0
1994,30.0,58.27,11.73,2977.0
1996,32.23,57.29,10.47,2885.0
1998,33.35,55.47,11.18,2806.0
2000,34.74,55.8,9.46,2777.0
2002,32.63,55.93,11.44,1369.0
2004,32.21,55.01,12.78,1337.0
2006,32.22,55.87,11.9,2986.0
2008,30.9,54.92,14.18,2015.0
2010,28.01,57.56,14.43,2039.0
2012,31.75,55.53,12.72,1964.0
2014,31.92,55.78,12.3,2530.0
2016,30.43,54.85,14.72,2859.0
2018,31.5,55.78,12.72,2344.0
2021,19.37,56.81,23.82,4014.0
2022,24.75,54.91,20.34,3520.0
2024,23.4,56.22,20.38,3281.0
