iso3,annee,heures_annuelles,pays
FRA,2000,1542.0,France
FRA,2001,1523.0,France
FRA,2002,1490.0,France
FRA,2003,1493.0,France
FRA,2004,1517.0,France
FRA,2005,1519.0,France
FRA,2006,1503.0,France
FRA,2007,1525.0,France
FRA,2008,1532.0,France
FRA,2009,1520.0,France
FRA,2010,1528.0,France
FRA,2011,1534.0,France
FRA,2012,1528.0,France
FRA,2013,1513.0,France
FRA,2014,1504.0,France
FRA,2015,1504.0,France
FRA,2016,1507.0,France
FRA,2017,1492.0,France
FRA,2018,1500.0,France
FRA,2019,1504.0,France
FRA,2020,1391.0,France
FRA,2021,1469.0,France
FRA,2022,1492.0,France
FRA,2023,1487.0,France
DEU,2000,1465.0,Allemagne
DEU,2001,1457.0,Allemagne
DEU,2002,1448.0,Allemagne
DEU,2003,1443.0,Allemagne
DEU,2004,1443.0,Allemagne
DEU,2005,1432.0,Allemagne
DEU,2006,1452.0,Allemagne
DEU,2007,1454.0,Allemagne
DEU,2008,1447.0,Allemagne
DEU,2009,1407.0,Allemagne
DEU,2010,1425.0,Allemagne
DEU,2011,1427.0,Allemagne
DEU,2012,1406.0,Allemagne
DEU,2013,1396.0,Allemagne
DEU,2014,1400.0,Allemagne
DEU,2015,1402.0,Allemagne
DEU,2016,1396.0,Allemagne
DEU,2017,1388.0,Allemagne
DEU,2018,1381.0,Allemagne
DEU,2019,1372.0,Allemagne
DEU,2020,1314.0,Allemagne
DEU,2021,1342.0,Allemagne
DEU,2022,1340.0,Allemagne
DEU,2023,1335.0,Allemagne
ITA,2000,1828.0,Italie
ITA,2001,1818.0,Italie
ITA,2002,1801.0,Italie
ITA,2003,1784.0,Italie
ITA,2004,1784.0,Italie
ITA,2005,1780.0,Italie
ITA,2006,1781.0,Italie
ITA,2007,1786.0,Italie
ITA,2008,1775.0,Italie
ITA,2009,1743.0,Italie
ITA,2010,1743.0,Italie
ITA,2011,1739.0,Italie
ITA,2012,1701.0,Italie
ITA,2013,1687.0,Italie
ITA,2014,1686.0,Italie
ITA,2015,1688.0,Italie
ITA,2016,1692.0,Italie
ITA,2017,1691.0,Italie
ITA,2018,1690.0,Italie
ITA,2019,1680.0,Italie
ITA,2020,1514.0,Italie
ITA,2021,1653.0,Italie
ITA,2022,1691.0,Italie
ITA,2023,1701.0,Italie
ESP,2000,1753.0,Espagne
ESP,2001,1763.0,Espagne
ESP,2002,1762.0,Espagne
ESP,2003,1751.0,Espagne
ESP,2004,1735.0,Espagne
ESP,2005,1718.0,Espagne
ESP,2006,1707.0,Espagne
ESP,2007,1695.0,Espagne
ESP,2008,1705.0,Espagne
ESP,2009,1711.0,Espagne
ESP,2010,1703.0,Espagne
ESP,2011,1709.0,Espagne
ESP,2012,1699.0,Espagne
ESP,2013,1688.0,Espagne
ESP,2014,1688.0,Espagne
ESP,2015,1690.0,Espagne
ESP,2016,1697.0,Espagne
ESP,2017,1689.0,Espagne
ESP,2018,1694.0,Espagne
ESP,2019,1678.0,Espagne
ESP,2020,1563.0,Espagne
ESP,2021,1633.0,Espagne
ESP,2022,1653.0,Espagne
ESP,2023,1638.0,Espagne
USA,2000,1888.0,États-Unis
USA,2001,1867.0,États-Unis
USA,2002,1848.0,États-Unis
USA,2003,1833.0,États-Unis
USA,2004,1832.0,États-Unis
USA,2005,1829.0,États-Unis
USA,2006,1831.0,États-Unis
USA,2007,1829.0,États-Unis
USA,2008,1809.0,États-Unis
USA,2009,1765.0,États-Unis
USA,2010,1773.0,États-Unis
USA,2011,1783.0,États-Unis
USA,2012,1785.0,États-Unis
USA,2013,1791.0,États-Unis
USA,2014,1797.0,États-Unis
USA,2015,1809.0,États-Unis
USA,2016,1803.0,États-Unis
USA,2017,1796.0,États-Unis
USA,2018,1804.0,États-Unis
USA,2019,1797.0,États-Unis
USA,2020,1778.0,États-Unis
USA,2021,1789.0,États-Unis
USA,2022,1790.0,États-Unis
USA,2023,1789.0,États-Unis
