zone,annee,valeur
Chine,2000,0.87
Chine,2008,3.24
Chine,2009,4.27
Chine,2010,5.0
Chine,2011,5.99
Chine,2012,8.0
Chine,2013,9.6
Chine,2014,10.57
Chine,2015,11.67
Chine,2016,12.61
Chine,2017,13.22
Chine,2018,14.19
Chine,2019,15.02
Chine,2020,19.54
Chine,2021,23.64
Chine,2022,27.65
Chine,2023,33.38
Europe (UE + AELE),2000,5.39
Europe (UE + AELE),2001,6.01
Europe (UE + AELE),2002,6.67
Europe (UE + AELE),2003,7.74
Europe (UE + AELE),2004,8.37
Europe (UE + AELE),2005,9.12
Europe (UE + AELE),2006,10.49
Europe (UE + AELE),2007,14.18
Europe (UE + AELE),2008,15.0
Europe (UE + AELE),2009,16.02
Europe (UE + AELE),2010,15.98
Europe (UE + AELE),2011,17.12
Europe (UE + AELE),2012,17.48
Europe (UE + AELE),2013,18.12
Europe (UE + AELE),2014,18.41
Europe (UE + AELE),2015,19.04
Europe (UE + AELE),2016,21.69
Europe (UE + AELE),2017,22.9
Europe (UE + AELE),2018,24.8
Europe (UE + AELE),2019,26.12
Europe (UE + AELE),2020,28.32
Europe (UE + AELE),2021,31.03
Europe (UE + AELE),2022,32.69
Europe (UE + AELE),2023,33.73
Japon,2000,4.82
Japon,2001,5.42
Japon,2002,6.72
Japon,2003,6.33
Japon,2004,6.75
Japon,2005,8.09
Japon,2006,9.43
Japon,2007,10.42
Japon,2008,11.09
Japon,2009,10.36
Japon,2010,11.42
Japon,2011,11.45
Japon,2012,12.53
Japon,2013,14.19
Japon,2014,14.51
Japon,2015,14.09
Japon,2016,12.81
Japon,2017,13.94
Japon,2018,13.49
Japon,2019,12.97
Japon,2020,13.12
Japon,2021,14.1
Japon,2022,15.07
Japon,2023,16.4
États-Unis,2000,12.79
États-Unis,2001,10.14
États-Unis,2002,14.2
États-Unis,2003,15.97
États-Unis,2004,31.48
États-Unis,2005,34.84
États-Unis,2006,38.9
États-Unis,2007,47.73
États-Unis,2008,48.13
États-Unis,2009,44.94
États-Unis,2010,49.42
États-Unis,2011,45.95
États-Unis,2012,48.15
États-Unis,2013,52.43
États-Unis,2014,56.61
États-Unis,2015,59.29
États-Unis,2016,64.78
États-Unis,2017,67.37
États-Unis,2018,75.62
États-Unis,2019,88.64
États-Unis,2020,92.21
États-Unis,2021,103.9
États-Unis,2022,117.52
États-Unis,2023,130.06
